itemID|brand|feature_1|feature_2|feature_3|feature_4|feature_5|categories|categories_level_2|item_replenishment_rate_nov|categories_replenishment_rate_nov|item_replenishment_rate_dec|categories_replenishment_rate_dec
22665|861|4|0|490|2|66|[2890, 855, 3908, 3909]|[2012, 3909, 2838, 3908]|0.0|0.1092724193926059|0.0|0.116783326331581
28640|1366|10|1|537|0|101|||1.0||1.0|
13526|1090|10|0|511|0|0|[3270, 163, 284, 1694, 12, 3837, 2422, 3595, 3561, 3912, 3913, 3914, 3915]|[3912, 3913, 3914, 3915, 3860, 600, 2364]|0.05|0.09624356082004841|0.041666666666666664|0.10560131805362706
21399|1090|10|1|511|0|0|[3270]|[2364]|0.0|0.09331074178315785|0.0|0.10132748495191175
8504|768|4|1|484|0|66|[2470]|[1072]|0.0|0.11046666598527113|0.0|0.12465251580925525
32122|5|4|1|491|0|66|||0.0||0.0|
31956|1388|4|0|491|0|66|[236, 3625, 356]|[2346]||0.072080463810733|0.0|0.07975389307567264
6237|1492|4|1|491|3|66|[2658, 1686]|[2364, 2109]|0.0|0.10113791272025181|0.0|0.10673275911596672
16971|288|6|0|314|0|45|[390, 2678, 1708]|[3624, 252, 519]|0.0528169014084507|0.08938098213862118|0.062111801242236024|0.0985359158854262
18385|288|6|0|314|0|45|[390, 1708]|[252, 519]|0.16417910447761194|0.09123424198429686|0.1375|0.1018741994152077
12775|322|1|0|536|0|78|[3222, 1170, 2296, 3751, 3399, 1772, 3917]|[1543, 3917, 366, 1682, 2231]|0.0|0.0716011307920077|0.031746031746031744|0.07522759165415818
8285|734|10|0|510|3|132|[3259, 2144, 2984, 677, 3349]|[2346, 2364, 1677]|0.027777777777777776|0.0746107917919433|0.02564102564102564|0.0811691754727903
16238|1180|10|0|288|0|87|[2942]|[2793]|0.0625|0.08257088428314657|0.0625|0.09033500391930849
29828|1180|10|0|288|0|87|[2942]|[2793]|0.05128205128205128|0.08257088428314657|0.1111111111111111|0.09033500391930849
13025|589|10|1|503|3|17|[1091, 2325]|[275, 965]|0.4|0.08955942740200978|0.3333333333333333|0.09928532314011966
18912|703|4|0|335|0|89|[474, 1330, 3471]|[1840, 370, 2364]|0.16666666666666666|0.10369942339884351|0.15789473684210525|0.11178622652788262
366|1366|10|1|537|0|101||||||
17432|1277|4|1|491|0|144|[1807]|[1072]||0.11046666598527113||0.12465251580925525
4119|167|4|1|466|0|-1|||0.0||0.0|
1954|1277|4|1|491|0|144|[1920, 3919]|[1682, 3919]|0.0|0.1575079349943892|0.0|0.15639111301765887
14612|1277|4|1|491|0|66|||0.0||0.0|
1373|1277|4|1|491|0|144|||0.0||0.0|
2440|322|4|1|536|0|144|[1984]|[34]|0.0|0.07353376764861842|0.0|0.08079304508088073
6084|1040|6|1|454|0|173|[1373, 2022, 1581]|[1825, 1677, 366]|0.0|0.04983338311519738|0.0|0.05349173910878711
31733|1040|6|1|454|0|173|||0.0||0.0|
19652|703|4|0|335|0|89|[1330, 332, 3471]|[370, 2364, 2231]|0.32558139534883723|0.10016169419332016|0.30612244897959184|0.10812356939768479
7002|752|4|1|31|3|140|[2797, 2865]|[2346]|0.0|0.072080463810733|0.0|0.07975389307567264
1504|752|4|1|31|3|140|[2797, 2865]|[2346]|0.18181818181818182|0.072080463810733|0.1875|0.07975389307567264
3914|1201|4|0|39|0|151|[2020, 327, 3920, 3921, 3922]|[3920, 3921, 3922, 2364, 2012]|0.029914529914529916|0.12790202530246847|0.02681992337164751|0.13956729326168887
24190|1201|4|0|39|0|151|[2020, 327, 3920, 3921, 3922]|[3920, 3921, 3922, 2364, 2012]|0.09787234042553192|0.12790202530246847|0.11406844106463879|0.13956729326168887
7811|1371|10|3|379|3|127|[614, 3916]|[2793, 3916]|0.0|0.06556173340127834|0.0|0.07052201020785565
21408|440|10|1|503|0|37|||0.0||0.0|
20836|1023|10|0|522|0|39|[1147, 2790, 1085, 1578, 3084, 668, 1097, 655]|[2928, 2364, 422]|0.0|0.06757785321041297|0.0|0.07479277754951973
23438|1023|10|2|522|0|39|[1147, 2790, 1085, 1578, 3084, 668, 655]|[2928, 2364, 422]|0.0|0.06757785321041297|0.0|0.07479277754951973
2722|1023|10|3|522|0|39|[1147, 2790, 1578, 3084, 668, 655]|[2928, 2364, 422]||0.06757785321041297||0.07479277754951973
32457|238|6|1|282|3|33|[3818, 2136]|[1072, 2364]|0.0|0.10188870388421449|0.0|0.1129900003805835
27772|238|6|0|394|3|33|[3818, 2136, 3307, 3364]|[1072, 2793, 2364]|0.16666666666666666|0.09544943068385851|0.18181818181818182|0.10543833489349182
26813|239|4|1|462|0|10|||0.0||0.0|
19733|239|4|1|462|0|10|||0.0||0.0|
30317|238|6|0|496|3|33|[3818, 2136, 31, 3925, 3926]|[2793, 1072, 3925, 3926, 2364]|0.0|0.08883286244470746|0.1|0.10363163185970685
10963|454|10|0|62|3|141|[1055, 3927]|[2012, 3927]|0.5|0.11793159315510685|0.5|0.12092923162104055
16219|62|10|1|503|3|152|[2833, 498]|[275, 965]|0.0|0.08955942740200978|0.0|0.09928532314011966
16010|715|4|1|491|3|66|[1807, 2203, 2716]|[1072, 2793]|0.0|0.09651877513420885|0.0|0.10749375986428186
29149|1379|6|1|444|0|117|[3169, 1920, 1136, 3923]|[3624, 1682, 3923, 2364]|0.5|0.09637884288135827|0.5|0.10592920729075388
22075|1385|10|1|504|0|37|||0.0||0.0|
22480|791|6|0|502|3|178|[3900, 3901, 3902, 3903, 3910, 3911, 3639, 1085, 3912, 3914, 3924, 3915]|[3910, 3911, 3912, 3914, 3915, 2928, 3860, 3924, 3900, 3901, 3902, 3903]|0.0|0.07562210595038561|0.0|0.08468678053565455
21222|238|6|1|332|3|33|[3818, 2136]|[1072, 2364]|0.0|0.10188870388421449|0.0|0.1129900003805835
17997|239|4|2|462|0|10|||0.0||0.0|
29010|249|10|0|503|0|185|[3683, 2833, 1694, 2863, 1085, 1083, 522]|[965, 2863, 2928, 275, 600, 2364]||0.081147864107023||0.0878911270925714
29270|239|4|1|462|0|10|||0.0||0.0|
29191|238|6|1|496|3|33|[3818, 2136]|[1072, 2364]|0.3333333333333333|0.10188870388421449|0.25|0.1129900003805835
27816|1023|10|0|522|0|29|[1147, 2790, 1085, 1578, 3470, 1097, 655, 2209]|[2928, 2209, 2364, 422]|0.0|0.068393137580763|0.0|0.07553847995023483
13585|239|4|1|452|0|12|[3254, 1646]|[1825, 366]|0.0|0.04552948978182655|0.0|0.049024534467787415
13331|238|6|0|496|3|33|[3818, 2136, 3926]|[1072, 2364, 3926]|0.0|0.09965893579611292|0.0|0.11394697205127204
9577|239|4|1|452|0|12|[3254, 1646]|[1825, 366]|0.0|0.04552948978182655|0.0|0.049024534467787415
13653|238|6|0|9|3|33|[3818, 2136, 379, 3929, 3930]|[1072, 2364, 3929, 3930, 2012]|0.15384615384615385|0.08315627171383758|0.09090909090909091|0.08873729317472837
8535|279|10|1|507|0|43|[585, 2731, 3639, 3931]|[3056, 298, 3931, 3860]||0.042701190921065835||0.048731886625272156
15811|238|6|2|496|3|33|[3818, 2136]|[1072, 2364]||0.10188870388421449||0.1129900003805835
18781|239|4|1|462|0|10|[3827, 1611]|[1825, 366]||0.04552948978182655||0.049024534467787415
32346|361|10|1|243|3|45|[3107, 3540, 1529, 3469]|[1480, 3540, 1677, 366]|0.06976744186046512|0.07125813583004423|0.07692307692307693|0.0752454031636857
9206|1201|4|0|174|0|44|[1012, 1555, 1350]|[2364, 686]|0.1568627450980392|0.11005974399037426|0.15757575757575756|0.12307445703390993
25833|139|6|0|491|3|117|[1920, 3907, 3932]|[1682, 3907, 3932]|0.3333333333333333|0.13125099706207208|0.25|0.14875681618650055
12742|1201|4|0|174|0|44|[1012, 1555, 1350]|[2364, 686]|0.1568627450980392|0.11005974399037426|0.14953271028037382|0.12307445703390993
1033|193|10|0|507|0|17|[2131, 2091, 1421, 2632]|[298, 2364, 678]|0.06382978723404255|0.06197567035417498|0.05454545454545454|0.07026370856538607
256|265|10|2|536|0|156|[300]|[34]|0.0|0.07353376764861842|0.0|0.08079304508088073
