itemID|brand|feature_1|feature_2|feature_3|feature_4|feature_5|categories|categories_level_2
22665|861|4|0|490|2|66|[2890, 855, 3908, 3909]|[2012, 3909, 2838, 3908]
28640|1366|10|1|537|0|101||
13526|1090|10|0|511|0|0|[3270, 163, 284, 1694, 12, 3837, 2422, 3595, 3561, 3912, 3913, 3914, 3915]|[3912, 3913, 3914, 3915, 3860, 600, 2364]
21399|1090|10|1|511|0|0|[3270]|[2364]
8504|768|4|1|484|0|66|[2470]|[1072]
32122|5|4|1|491|0|66||
31956|1388|4|0|491|0|66|[236, 3625, 356]|[2346]
6237|1492|4|1|491|3|66|[2658, 1686]|[2364, 2109]
16971|288|6|0|314|0|45|[390, 2678, 1708]|[3624, 252, 519]
18385|288|6|0|314|0|45|[390, 1708]|[252, 519]
12775|322|1|0|536|0|78|[3222, 1170, 2296, 3751, 3399, 1772, 3917]|[1543, 3917, 366, 1682, 2231]
8285|734|10|0|510|3|132|[3259, 2144, 2984, 677, 3349]|[2346, 2364, 1677]
16238|1180|10|0|288|0|87|[2942]|[2793]
29828|1180|10|0|288|0|87|[2942]|[2793]
13025|589|10|1|503|3|17|[1091, 2325]|[275, 965]
18912|703|4|0|335|0|89|[474, 1330, 3471]|[1840, 370, 2364]
366|1366|10|1|537|0|101||
17432|1277|4|1|491|0|144|[1807]|[1072]
4119|167|4|1|466|0|-1||
1954|1277|4|1|491|0|144|[1920, 3919]|[1682, 3919]
14612|1277|4|1|491|0|66||
1373|1277|4|1|491|0|144||
2440|322|4|1|536|0|144|[1984]|[34]
6084|1040|6|1|454|0|173|[1373, 2022, 1581]|[1825, 1677, 366]
31733|1040|6|1|454|0|173||
19652|703|4|0|335|0|89|[1330, 332, 3471]|[370, 2364, 2231]
7002|752|4|1|31|3|140|[2797, 2865]|[2346]
1504|752|4|1|31|3|140|[2797, 2865]|[2346]
3914|1201|4|0|39|0|151|[2020, 327, 3920, 3921, 3922]|[3920, 3921, 3922, 2364, 2012]
24190|1201|4|0|39|0|151|[2020, 327, 3920, 3921, 3922]|[3920, 3921, 3922, 2364, 2012]
7811|1371|10|3|379|3|127|[614, 3916]|[2793, 3916]
21408|440|10|1|503|0|37||
20836|1023|10|0|522|0|39|[1147, 2790, 1085, 1578, 3084, 668, 1097, 655]|[2928, 2364, 422]
23438|1023|10|2|522|0|39|[1147, 2790, 1085, 1578, 3084, 668, 655]|[2928, 2364, 422]
2722|1023|10|3|522|0|39|[1147, 2790, 1578, 3084, 668, 655]|[2928, 2364, 422]
32457|238|6|1|282|3|33|[3818, 2136]|[1072, 2364]
27772|238|6|0|394|3|33|[3818, 2136, 3307, 3364]|[1072, 2793, 2364]
26813|239|4|1|462|0|10||
19733|239|4|1|462|0|10||
30317|238|6|0|496|3|33|[3818, 2136, 31, 3925, 3926]|[2793, 1072, 3925, 3926, 2364]
10963|454|10|0|62|3|141|[1055, 3927]|[2012, 3927]
16219|62|10|1|503|3|152|[2833, 498]|[275, 965]
16010|715|4|1|491|3|66|[1807, 2203, 2716]|[1072, 2793]
29149|1379|6|1|444|0|117|[3169, 1920, 1136, 3923]|[3624, 1682, 3923, 2364]
22075|1385|10|1|504|0|37||
22480|791|6|0|502|3|178|[3900, 3901, 3902, 3903, 3910, 3911, 3639, 1085, 3912, 3914, 3924, 3915]|[3910, 3911, 3912, 3914, 3915, 2928, 3860, 3924, 3900, 3901, 3902, 3903]
21222|238|6|1|332|3|33|[3818, 2136]|[1072, 2364]
17997|239|4|2|462|0|10||
29010|249|10|0|503|0|185|[3683, 2833, 1694, 2863, 1085, 1083, 522]|[965, 2863, 2928, 275, 600, 2364]
29270|239|4|1|462|0|10||
29191|238|6|1|496|3|33|[3818, 2136]|[1072, 2364]
27816|1023|10|0|522|0|29|[1147, 2790, 1085, 1578, 3470, 1097, 655, 2209]|[2928, 2209, 2364, 422]
13585|239|4|1|452|0|12|[3254, 1646]|[1825, 366]
13331|238|6|0|496|3|33|[3818, 2136, 3926]|[1072, 2364, 3926]
9577|239|4|1|452|0|12|[3254, 1646]|[1825, 366]
13653|238|6|0|9|3|33|[3818, 2136, 379, 3929, 3930]|[1072, 2364, 3929, 3930, 2012]
8535|279|10|1|507|0|43|[585, 2731, 3639, 3931]|[3056, 298, 3931, 3860]
15811|238|6|2|496|3|33|[3818, 2136]|[1072, 2364]
18781|239|4|1|462|0|10|[3827, 1611]|[1825, 366]
32346|361|10|1|243|3|45|[3107, 3540, 1529, 3469]|[1480, 3540, 1677, 366]
9206|1201|4|0|174|0|44|[1012, 1555, 1350]|[2364, 686]
25833|139|6|0|491|3|117|[1920, 3907, 3932]|[1682, 3907, 3932]
12742|1201|4|0|174|0|44|[1012, 1555, 1350]|[2364, 686]
1033|193|10|0|507|0|17|[2131, 2091, 1421, 2632]|[298, 2364, 678]
256|265|10|2|536|0|156|[300]|[34]
4232|598|4|1|491|0|66|[1807]|[1072]
9860|598|4|1|491|0|66|[1807]|[1072]
15336|239|4|1|452|0|12||
26013|1237|10|1|484|3|101||
25566|239|4|1|452|0|12||
19233|1237|10|1|484|3|101|[1608]|[1072]
30464|239|4|1|462|0|10||
24529|239|4|1|462|0|10|[3827, 2269]|[1825, 366]
