last_order_date|distinct_weeks|days_since_last_order|user_recency_score|user_frequency_score
2020-12-11|8|20|3|4
2020-12-09|8|22|3|4
2020-12-19|9|12|4|5
2020-12-29|11|2|5|5
2020-11-29|9|32|2|5
2020-11-30|2|31|2|1
2020-12-28|7|3|5|4
2020-12-13|3|18|3|1
2020-12-30|5|1|5|2
2020-10-31|3|61|1|1
2020-11-27|4|34|2|2
2020-12-07|9|24|3|5
2020-12-29|8|2|5|4
2020-12-24|10|7|5|5
2020-12-15|7|16|4|4
2020-12-26|11|5|5|5
2020-12-28|7|3|5|4
2020-12-12|10|19|3|5
2020-11-10|6|51|1|3
2020-12-09|4|22|3|2
2020-12-16|6|15|4|3
2020-12-26|9|5|5|5
2020-10-25|8|67|1|4
2020-12-17|4|14|4|2
2020-12-27|17|4|5|5
2020-11-28|3|33|2|1
2020-12-09|3|22|3|1
2020-12-01|4|30|2|2
2020-12-30|5|1|5|2
2020-11-14|9|47|1|5
2020-10-19|1|73|1|1
2020-12-11|4|20|3|2
2020-12-19|4|12|4|2
2020-11-21|3|40|2|1
2020-12-14|9|17|3|5
2020-12-31|5|0|5|2
2020-12-25|7|6|5|4
2020-11-13|5|48|1|2
2020-11-03|4|58|1|2
2020-11-07|6|54|1|3
2020-12-20|7|11|4|4
2020-12-22|18|9|4|5
2020-12-06|4|25|3|2
2020-12-22|16|9|4|5
2020-11-18|7|43|2|4
2020-08-07|2|146|1|1
2020-10-21|7|71|1|4
2020-12-06|5|25|3|2
2020-12-15|4|16|4|2
2020-12-30|5|1|5|2
2020-12-25|4|6|5|2
2020-10-11|3|81|1|1
2020-10-03|3|89|1|1
2020-12-30|4|1|5|2
2020-12-24|7|7|5|4
2020-12-15|6|16|4|3
2020-11-09|4|52|1|2
2020-12-28|8|3|5|4
2020-11-21|4|40|2|2
2020-11-04|5|57|1|2
2020-12-15|7|16|4|4
2020-11-21|8|40|2|4
2020-11-17|8|44|2|4
2020-12-20|19|11|4|5
2020-11-10|5|51|1|2
2020-10-13|4|79|1|2
2020-06-12|1|202|1|1
2020-12-17|4|14|4|2
2020-11-06|4|55|1|2
2020-12-01|8|30|2|4
2020-12-09|8|22|3|4
2020-12-06|2|25|3|1
2020-12-24|3|7|5|1
2020-08-30|3|123|1|1
2020-12-15|4|16|4|2
2020-12-02|11|29|2|5
2020-12-13|11|18|3|5
2020-12-13|4|18|3|2
2020-11-25|10|36|2|5
2020-12-16|6|15|4|3
2020-10-14|7|78|1|4
2020-12-21|2|10|4|1
2020-12-01|5|30|2|2
2020-11-30|5|31|2|2
2020-11-14|2|47|1|1
2020-12-13|11|18|3|5
2020-09-07|3|115|1|1
2020-11-06|6|55|1|3
2020-10-01|2|91|1|1
2020-11-03|4|58|1|2
2020-12-30|7|1|5|4
2020-12-30|7|1|5|4
2020-12-14|3|17|3|1
2020-09-16|2|106|1|1
2020-12-26|9|5|5|5
2020-09-27|4|95|1|2
2020-12-20|3|11|4|1
2020-12-16|4|15|4|2
2020-12-29|7|2|5|4
2020-12-26|5|5|5|2
2020-12-23|5|8|5|2
2020-09-17|2|105|1|1
2020-10-12|2|80|1|1
2020-12-27|3|4|5|1
2020-11-29|3|32|2|1
2020-12-14|5|17|3|2
2020-11-07|6|54|1|3
2020-12-21|7|10|4|4
2020-12-05|6|26|3|3
2020-12-29|7|2|5|4
2020-12-13|9|18|3|5
2020-12-13|4|18|3|2
2020-11-26|2|35|2|1
2020-12-30|13|1|5|5
2020-12-28|11|3|5|5
2020-10-14|2|78|1|1
2020-11-08|4|53|1|2
2020-12-29|8|2|5|4
2020-12-09|8|22|3|4
2020-12-31|7|0|5|4
2020-12-04|5|27|2|2
2020-12-17|4|14|4|2
2020-12-17|7|14|4|4
2020-12-22|5|9|4|2
2020-12-27|9|4|5|5
2020-10-19|3|73|1|1
2020-10-16|6|76|1|3
2020-10-31|6|61|1|3
2020-11-23|5|38|2|2
2020-12-08|5|23|3|2
2020-12-12|9|19|3|5
2020-12-05|5|26|3|2
2020-10-08|1|84|1|1
2020-09-27|3|95|1|1
2020-12-28|10|3|5|5
2020-12-11|10|20|3|5
2020-12-28|10|3|5|5
2020-11-15|2|46|2|1
2020-12-30|3|1|5|1
2020-11-10|5|51|1|2
2020-11-17|1|44|2|1
2020-11-26|6|35|2|3
2020-12-13|5|18|3|2
2020-12-11|8|20|3|4
2020-09-26|3|96|1|1
2020-12-09|5|22|3|2
2020-11-25|2|36|2|1
2020-12-08|1|23|3|1
2020-12-21|8|10|4|4
2020-12-23|7|8|5|4
2020-12-01|4|30|2|2
2020-12-14|13|17|3|5
2020-11-01|4|60|1|2
2020-12-30|7|1|5|4
2020-11-23|10|38|2|5
2020-12-13|13|18|3|5
2020-12-12|8|19|3|4
2020-10-06|4|86|1|2
2020-11-27|5|34|2|2
2020-12-06|2|25|3|1
2020-12-21|9|10|4|5
2020-11-27|5|34|2|2
2020-11-14|4|47|1|2
2020-10-28|4|64|1|2
2020-11-06|8|55|1|4
2020-08-31|1|122|1|1
2020-07-17|2|167|1|1
2020-12-26|7|5|5|4
2020-12-05|9|26|3|5
2020-11-21|8|40|2|4
2020-12-27|13|4|5|5
2020-12-16|7|15|4|4
2020-12-28|8|3|5|4
2020-12-11|6|20|3|3
2020-12-20|5|11|4|2
2020-12-05|4|26|3|2
2020-10-22|6|70|1|3
2020-12-21|6|10|4|3
2020-11-26|5|35|2|2
2020-11-12|3|49|1|1
2020-09-19|4|103|1|2
2020-06-13|2|201|1|1
2020-12-26|9|5|5|5
2020-11-29|8|32|2|4
2020-11-29|9|32|2|5
2020-12-06|7|25|3|4
2020-12-22|7|9|4|4
2020-11-29|8|32|2|4
2020-11-23|5|38|2|2
2020-11-14|4|47|1|2
2020-11-20|4|41|2|2
2020-12-16|3|15|4|1
2020-11-29|8|32|2|4
2020-11-29|3|32|2|1
2020-11-20|2|41|2|1
2020-11-29|6|32|2|3
2020-11-21|4|40|2|2
2020-12-27|9|4|5|5
2020-10-22|6|70|1|3
2020-12-15|2|16|4|1
2020-12-31|5|0|5|2
2020-09-02|3|120|1|1
2020-11-24|8|37|2|4
2020-12-20|3|11|4|1
2020-12-06|4|25|3|2
2020-12-17|10|14|4|5
2020-12-13|11|18|3|5
2020-11-21|4|40|2|2
2020-12-27|5|4|5|2
2020-12-15|10|16|4|5
2020-12-26|9|5|5|5
2020-10-02|1|90|1|1
2020-12-31|9|0|5|5
2020-11-22|3|39|2|1
2020-12-19|4|12|4|2
2020-12-06|6|25|3|3
2020-07-08|2|176|1|1
2020-12-30|4|1|5|2
2020-12-29|9|2|5|5
2020-12-22|3|9|4|1
2020-12-02|5|29|2|2
2020-12-19|4|12|4|2
2020-10-25|8|67|1|4
2020-12-23|7|8|5|4
2020-12-26|9|5|5|5
2020-12-29|11|2|5|5
2020-11-10|7|51|1|4
2020-11-21|6|40|2|3
2020-12-30|14|1|5|5
2020-12-20|4|11|4|2
2020-11-20|4|41|2|2
2020-11-02|5|59|1|2
2020-12-15|9|16|4|5
2020-12-03|6|28|2|3
2020-11-22|3|39|2|1
