last_order_date|distinct_weeks|days_since_last_order|user_recency_score|user_frequency_score
2020-11-20|6|10|4|4
2020-11-29|7|1|5|4
2020-11-28|8|2|5|5
2020-11-21|9|9|4|5
2020-11-29|9|1|5|5
2020-11-30|2|0|5|1
2020-09-14|4|77|1|2
2020-10-05|2|56|1|1
2020-08-12|4|110|1|2
2020-10-31|3|30|2|1
2020-11-27|4|3|5|2
2020-11-01|7|29|2|4
2020-11-09|5|21|3|3
2020-10-30|8|31|2|5
2020-11-08|5|22|3|3
2020-11-29|9|1|5|5
2020-11-13|4|17|3|2
2020-11-21|9|9|4|5
2020-11-10|6|20|3|4
2020-11-23|3|7|4|1
2020-10-27|5|34|2|3
2020-11-06|7|24|3|4
2020-10-25|8|36|2|5
2020-11-27|3|3|5|1
2020-11-17|15|13|4|5
2020-11-28|3|2|5|1
2020-06-03|1|180|1|1
2020-07-17|3|136|1|1
2020-11-22|4|8|4|2
2020-11-14|9|16|3|5
2020-10-19|1|42|2|1
2020-10-11|3|50|2|1
2020-09-30|3|61|1|1
2020-11-21|3|9|4|1
2020-11-13|8|17|3|5
2020-08-26|4|96|1|2
2020-11-21|5|9|4|3
2020-11-13|5|17|3|3
2020-11-03|4|27|3|2
2020-11-07|6|23|3|4
2020-10-14|6|47|2|4
2020-11-17|15|13|4|5
2020-11-11|3|19|3|1
2020-11-23|13|7|4|5
2020-11-18|7|12|4|4
2020-08-07|2|115|1|1
2020-10-21|7|40|2|4
2020-10-28|4|33|2|2
2020-11-07|3|23|3|1
2020-11-26|4|4|5|2
2020-10-23|3|38|2|1
2020-10-11|3|50|2|1
2020-10-03|3|58|1|1
2020-11-21|3|9|4|1
2020-10-18|5|43|2|3
2020-11-03|5|27|3|3
2020-11-09|4|21|3|2
2020-09-29|6|62|1|4
2020-11-21|4|9|4|2
2020-11-04|5|26|3|3
2020-10-30|5|31|2|3
2020-11-21|8|9|4|5
2020-11-17|8|13|4|5
2020-11-28|17|2|5|5
2020-11-10|5|20|3|3
2020-10-13|4|48|2|2
2020-06-12|1|171|1|1
2020-08-31|3|91|1|1
2020-11-06|4|24|3|2
2020-11-11|7|19|3|4
2020-10-11|6|50|2|4
2020-11-30|2|0|5|1
2020-06-27|1|156|1|1
2020-08-30|3|92|1|1
2020-11-08|3|22|3|1
2020-11-26|10|4|5|5
2020-11-25|10|5|5|5
2020-10-23|2|38|2|1
2020-11-25|10|5|5|5
2020-09-29|5|62|1|3
2020-10-14|7|47|2|4
2020-08-25|1|97|1|1
2020-11-28|4|2|5|2
2020-11-30|5|0|5|3
2020-11-14|2|16|3|1
2020-11-26|9|4|5|5
2020-09-07|3|84|1|1
2020-11-06|6|24|3|4
2020-10-01|2|60|1|1
2020-11-03|4|27|3|2
2020-10-12|6|49|2|4
2020-11-10|6|20|3|4
2020-11-16|1|14|3|1
2020-09-16|2|75|1|1
2020-11-25|8|5|5|5
2020-09-27|4|64|1|2
2020-09-25|2|66|1|1
2020-09-23|3|68|1|1
2020-10-29|5|32|2|3
2020-11-30|4|0|5|2
2020-11-23|4|7|4|2
2020-09-17|2|74|1|1
2020-10-12|2|49|2|1
2020-11-01|2|29|2|1
2020-11-29|3|1|5|1
2020-11-14|3|16|3|1
2020-11-07|6|23|3|4
2020-11-02|6|28|3|4
2020-11-15|5|15|3|3
2020-10-17|6|44|2|4
2020-11-23|8|7|4|5
2020-08-17|3|105|1|1
2020-11-26|2|4|5|1
2020-11-25|12|5|5|5
2020-10-19|9|42|2|5
2020-10-14|2|47|2|1
2020-11-08|4|22|3|2
2020-10-16|6|45|2|4
2020-11-12|7|18|3|4
2020-11-27|5|3|5|3
2020-11-28|4|2|5|2
2020-08-05|3|117|1|1
2020-11-30|6|0|5|4
2020-11-13|4|17|3|2
2020-10-29|8|32|2|5
2020-10-19|3|42|2|1
2020-10-16|6|45|2|4
2020-10-31|6|30|2|4
2020-11-23|5|7|4|3
2020-09-24|4|67|1|2
2020-10-31|8|30|2|5
2020-10-21|4|40|2|2
2020-10-08|1|53|1|1
2020-09-27|3|64|1|1
2020-10-29|7|32|2|4
2020-10-19|8|42|2|5
2020-11-29|8|1|5|5
2020-11-15|2|15|3|1
2020-10-05|2|56|1|1
2020-11-10|5|20|3|3
2020-11-17|1|13|4|1
2020-11-26|6|4|5|4
2020-11-28|4|2|5|2
2020-10-31|6|30|2|4
2020-09-26|3|65|1|1
2020-11-15|4|15|3|2
2020-11-25|2|5|5|1
2020-10-28|7|33|2|4
2020-11-29|5|1|5|3
2020-10-20|3|41|2|1
2020-11-21|11|9|4|5
2020-11-01|4|29|2|2
2020-11-25|6|5|5|4
2020-11-23|10|7|4|5
2020-11-07|11|23|3|5
2020-11-14|7|16|3|4
2020-10-06|4|55|1|2
2020-11-27|5|3|5|3
2020-10-17|1|44|2|1
2020-10-25|7|36|2|4
2020-11-27|5|3|5|3
2020-11-14|4|16|3|2
2020-10-28|4|33|2|2
2020-11-06|8|24|3|5
2020-08-31|1|91|1|1
2020-07-17|2|136|1|1
2020-10-20|6|41|2|4
2020-11-21|8|9|4|5
2020-11-21|8|9|4|5
2020-11-25|10|5|5|5
2020-11-22|6|8|4|4
2020-11-06|4|24|3|2
2020-10-20|4|41|2|2
2020-11-15|3|15|3|1
2020-09-28|3|63|1|1
2020-10-22|6|39|2|4
2020-11-25|5|5|5|3
2020-11-26|5|4|5|3
2020-11-12|3|18|3|1
2020-09-19|4|72|1|2
2020-06-13|2|170|1|1
2020-11-12|8|18|3|5
2020-11-29|8|1|5|5
2020-11-29|9|1|5|5
2020-11-29|6|1|5|4
2020-08-27|5|95|1|3
2020-11-29|8|1|5|5
2020-11-23|5|7|4|3
2020-11-14|4|16|3|2
